property_id,suburb,address,property_type,sale_price,sale_date,bedrooms,bathrooms,parking_spaces,land_size_sqm,floor_area_sqm,distance_to_cbd_km,distance_to_station_km,year_built,agent_description,listing_url,data_source,notes
M001,Manly,"16/1 Addison Road, Manly, NSW 2095",Apartment,1655000,2026-07-30,3,2,1,,112,,,,,,domain.com.au,
M002,Manly,"2/19-21 The Crescent, Manly, NSW 2095",Apartment,1455000,2026-07-28,2,1,1,,92,,,,,,domain.com.au,
M003,Manly,"127 Pittwater Road, Manly, NSW 2095",House,4115000,2026-07-24,3,2,1,278,,,,,,,domain.com.au,
M004,Manly,"308B/9-15 Central Avenue, Manly, NSW 2095",Apartment,747000,2026-07-24,1,,,,50,,,,,,domain.com.au,bathrooms/parking not listed
M005,Manly,"5/18 Fairlight Street, Manly, NSW 2095",Apartment,1475000,2026-07-20,2,1,1,,75,,,,,,domain.com.au,
M006,Manly,"2/2a Kangaroo Street, Manly, NSW 2095",Unit,1500000,2026-07-17,2,1,,,,,,,,,domain.com.au,parking/area not listed
M007,Manly,"4/20 Augusta Road, Manly, NSW 2095",Apartment,1240000,2026-07-11,2,1,1,,64,,,,,,domain.com.au,
M008,Manly,"27/10 Darley Road, Manly, NSW 2095",Apartment,1360000,2026-07-10,1,1,1,,,,,,,,domain.com.au,area not listed
M009,Manly,"17/6-12 Pacific Street, Manly, NSW 2095",Unit,2500000,2026-07-08,2,2,1,,,,,,,,domain.com.au,area not listed
M010,Manly,"6/8 Victoria Parade, Manly, NSW 2095",Unit,1200000,2026-07-02,2,1,,,74.3,,,,,,domain.com.au,parking not listed
M011,Manly,"5/120 Addison Road, Manly, NSW 2095",Apartment,2500000,2026-06-30,3,2,1,,,,,,,,domain.com.au,area not listed
M012,Manly,"101/13 Whistler Street, Manly, NSW 2095",Apartment,2050000,2026-06-30,2,2,1,,86,,,,,,domain.com.au,
M013,Manly,"32/20 Bonner Avenue, Manly, NSW 2095",Apartment,5250000,2026-06-29,3,2,1,,,,,,,,domain.com.au,area not listed
M014,Manly,"21/140 Addison Road, Manly, NSW 2095",Apartment,5385000,2026-06-26,3,2,2,,173,,,,,,domain.com.au,
M015,Manly,"4/51C Kangaroo Street, Manly, NSW 2095",Unit,990000,2026-06-26,1,1,1,,,,,,,,domain.com.au,area not listed
M016,Manly,"1/8 Ocean Road, Manly, NSW 2095",Apartment,2450000,2026-06-25,3,2,1,,103,,,,,,domain.com.au,
M017,Manly,"13/49 Osborne Road, Manly, NSW 2095",Apartment,3175000,2026-06-17,3,2,1,,126,,,,,,domain.com.au,
M018,Manly,"12/14 Malvern Avenue, Manly, NSW 2095",Apartment,1253000,2026-06-13,1,1,1,,,,,,,,domain.com.au,area not listed
M019,Manly,"5/19a Addison Road, Manly, NSW 2095",Townhouse,6300000,2026-06-12,3,2,2,,,,,,,,domain.com.au,area not listed
M020,Manly,"69 Stuart Street, Manly, NSW 2095",House,9000000,2026-06-09,3,1,2,277.4,,,,,,,domain.com.au,
M024,Manly,"3/32-34 Bonner Avenue, Manly, NSW 2095",Apartment,2570000,2026-06-04,2,2,1,,,,,,,,domain.com.au,area not listed
M025,Manly,"5/48 Collingwood Street, Manly, NSW 2095",Apartment,2025000,2026-06-04,2,2,1,,,,,,,,domain.com.au,area not listed
M026,Manly,"8 Herbert Street, Manly, NSW 2095",House,5300000,2026-03-17,5,3,2,360.4,,,,,,,domain.com.au,
M031,Manly,"2/3 Eurobin Avenue, Manly, NSW 2095",Apartment,2470000,2026-03-09,3,2,1,,,,,,,,domain.com.au,area not listed
M032,Manly,"5/208 Pittwater Road, Manly, NSW 2095",Apartment,1487000,2026-02-28,2,1,1,,,,,,,,domain.com.au,area not listed
M033,Manly,"909/22 Central Avenue, Manly, NSW 2095",Apartment,1075000,2026-02-25,1,1,,,,,,,,,domain.com.au,parking/area not listed
M034,Manly,"5/3 Eustace Street, Manly, NSW 2095",Apartment,1425000,2026-02-16,2,1,,,73,,,,,,domain.com.au,parking not listed
M035,Manly,"7/59 North Steyne, Manly, NSW 2095",Apartment,6600000,2026-02-13,3,2,2,,,,,,,,domain.com.au,area not listed
M036,Manly,"338/11-25 Wentworth Street, Manly, NSW 2095",Unit,2200000,2026-02-13,2,2,2,,114,,,,,,domain.com.au,
M037,Manly,"29/23 Iluka Avenue, Manly, NSW 2095",Apartment,2125000,2026-02-13,3,1,2,,135,,,,,,domain.com.au,
M041,Manly,"3/15A Eustace Street, Manly, NSW 2095",Apartment,1350000,2026-02-05,2,1,,,,,,,,,domain.com.au,parking/area not listed
M042,Manly,"10/17 Darley Road, Manly, NSW 2095",Unit,1650000,2026-01-16,2,1,,,,,,,,,domain.com.au,parking/area not listed
M043,Manly,"7/4 Craig Avenue, Manly, NSW 2095",Apartment,900000,2026-01-14,1,1,,,,,,,,,domain.com.au,parking/area not listed
M044,Manly,"10/1-3 Wentworth Street, Manly, NSW 2095",Apartment,3200000,2026-01-13,2,2,2,,,,,,,,domain.com.au,area not listed
M045,Manly,"5/24 Birkley Road, Manly, NSW 2095",Apartment,3655000,2025-12-13,3,2,2,,290,,,,,,domain.com.au,
M046,Manly,"3/10 Augusta Road, Manly, NSW 2095",Apartment,2350000,2025-12-13,2,1,1,,105,,,,,,domain.com.au,
M047,Manly,"56/69 Addison Road, Manly, NSW 2095",Unit,515000,2025-12-12,1,1,,,28,,,,,,domain.com.au,parking not listed
M048,Manly,"3/51 Pittwater Road, Manly, NSW 2095",Townhouse,1850000,2025-12-05,2,2,1,,97,,,,,,domain.com.au,
M049,Manly,"4/43 Kangaroo Street, Manly, NSW 2095",Apartment,2150000,2025-11-28,2,1,1,,,,,,,,domain.com.au,area not listed
M050,Manly,"3/55 Addison Road, Manly, NSW 2095",Apartment,1125000,2025-11-26,1,1,1,,,,,,,,domain.com.au,area not listed
P001,Parramatta,"53/20 Victoria Road, Parramatta, NSW 2150",Apartment,640000,2026-08-13,2,2,1,,,,,,,,domain.com.au,
